Spanish,English,Frequency
de,of,14459520
que,what,14421005
no,no,12379505
a,a,9549646
la,the,9125471
el,the,7531226
y,Y,7128745
es,it is,6993497
en,in,6817324
lo,it,6041793
un,and,5605577
por,by,4454673
qué,what,4166708
me,me,3927712
una,a,3846322
los,the,3069193
se,with,3058120
te,the,3034375
con,with,3028045
para,for,2832100
está,it is,2433246
mi,me,2403204
pero,but,2369484
sí,Yes,2350514
si,and,2348665
bien,good,2045290
eso,it's,2029720
su,are,2005512
las,the,2001203
yo,they,1915934
del,of,1647872
como,as,1630651
aquí,here,1625090
tu,That,1618746
al,al,1549489
más,plus,1503527
le,the,1432173
esto,this,1297847
todo,all,1296897
ya,of,1115265
estoy,am,1092574
ahora,now,1088174
muy,very,1086248
ha,he has,1071928
esta,is,1051900
así,So,1050332
vamos,we will,1049315
algo,something,1039192
hay,good,1014288
bueno,Okay,1012700
tengo,I've got,954371
él,the,931487
cuando,when,931329
estás,are,917354
sé,see,911639
tú,you,906053
nos,us,866968
nada,anything,863844
cómo,What,862349
este,It is,858931
o,O,843972
he,he,820376
ser,to be,819688
tiene,have,807065
puedo,Can I,806048
ella,she,800671
quiero,I want,798831
hacer,do,794408
fue,it was,781449
gracias,Thank you,779503
vez,turn,767227
era,era,765725
soy,soy,745166
sólo,single,741588
todos,all,686692
porque,why,685059
son,son,671394
tienes,you have,670767
creo,I think,651433
voy,I go,639418
sabes,you know,636739
estaba,I was,636659
puede,can,631326
eres,are,630024
ese,that,624205
usted,you,618844
entonces,then,609938
hola,hour,601523
solo,alone,590343
verdad,TRUE,589565
casa,House,587832
tan,tan,573916
quién,who,566465
sus,their,562087
tiempo,weather,556996
dos,From,556427
esa,this,553442
nunca,Never,549997
dónde,where,539643
va,and,535397
oh,oh,532776
favor,favor,527629
mucho,much,516361
mí,my,515655
quieres,you want,515465
siento,I feel,512907
señor,mister,507728
mejor,better,500478
hace,does,495352
has,has,492533
decir,tell,492098
también,also,488057
sobre,about,478020
dios,god,476939
sin,sin,474770
tenemos,we have,473895
están,is it so,471887
ti,of,470358
puedes,you may,463318
ver,to see,462775
hombre,men,460084
vida,life,453649
alguien,someone,447141
cosas,stuff,424801
siempre,forever,424363
hasta,until,423321
ahí,there,422871
ir,and,411198
años,years,408547
antes,before,405555
estar,be,402369
ni,in,401980
poco,little bit,397739
día,day,395131
uno,one,393047
noche,night,391078
hecho,done,391011
mis,which,385798
estamos,we're,376563
otra,other,368984
acuerdo,agreement,367329
trabajo,worked,363747
nosotros,us,357836
parece,looks,355615
gente,people,354586
sea,sea,352790
padre,father,351051
mira,mira,349779
mismo,same,347834
dijo,said,342900
nadie,no one,339772
quiere,wants,332148
podría,could,329332
hablar,speak,327201
vas,your,327127
ellos,they,323892
sr.,sr.,321637
tal,turn,317926
pasa,happens,315529
fuera,outside,311571
después,after,311500
han,he,308501
desde,since,303620
dinero,money,300518
mundo,world,298208
claro,clear,296584
momento,time,294559
les,them,294439
tener,to have,292932
estado,state,292015
otro,other,290565
había,there was,289157
mañana,morning,283391
tenía,I had,282966
madre,mother,281646
vale,Valley,280447
lugar,place,280315
haciendo,making,278317
donde,where,277524
seguro,safe,277231
sabe,You know,273895
podemos,we can,272425
tus,the,271677
espera,wait,270741
nuevo,new,269895
sido,been,269505
cosa,What,269054
hijo,son,267856
allí,over there,267215
menos,any less,263837
tipo,type,262340
amigo,friend,258356
gran,great,257648
nuestro,our,254046
mujer,woman,249627
mamá,breast,247700
luego,later,245811
papá,father,243251
días,days,243003
dice,dice,240795
hoy,today,240395
tres,three,239782
buena,good,238330
necesito,needed,237654
dije,said,235936
oye,understand,234324
gusta,like,233367
quería,wanted,230602
será,it will be,230159
haber,to have,229602
parte,part,229038
todas,all,227146
crees,You believe,225748
buen,good,224802
conmigo,with me,224527
nombre,Name,222406
mierda,shit,221567
nuestra,our,221503
mal,times,220024
debe,must,218223
realmente,really,217847
estas,is,216844
aún,even,215129
mío,Own,212096
toda,all,211746
hacerlo,do it,209901
cada,each,209674
visto,view,206949
importa,it matters,203118
contigo,with you,202208
tienen,have,200708
hemos,we have,200028
razón,reason,198832
alguna,some,198263
tanto,so much,197519
saber,know,196610
hizo,Those,196192
veces,times,195756
serio,serious,194846
ven,ven,193452
idea,idea,193369
eh,Eh,193299
tarde,afternoon,191883
problema,problem,189963
hora,hour,189851
cierto,certain,189653
dicho,saying,187895
quien,who,187133
demasiado,too,182668
amor,love,182326
entre,in between,181114
ve,ve,179427
pasado,past,178763
familia,family,177748
estos,these,176532
policía,policeman,175471
debería,should,175394
ustedes,your,174241
chica,girl,173210
esos,those,171237
chicos,Boys,170008
cuenta,bill,169714
haces,you do,166985
todavía,yet,166624
salir,leave,165591
algún,some,163790
vaya,wow,162833
unos,some,162525
veo,I see,162326
amigos,friends,160684
hermano,brother,159678
pensé,think,159438
